Time	 FAIRTEN1	 FAIRTEN2	 FAIRTEN3	 CON2PX	 CON2PY	 CON2PZ	 
0	 111038	 273988	 273988	 -248.3	 0	 -70	 
0.1	 111035	 273820	 273820	 -248.3	 0	 -70	 
0.2	 136689	 245304	 245304	 -248.3	 0	 -70	 
0.3	 114083	 168554	 168554	 -248.3	 0	 -70	 
0.4	 136258	 178438	 178438	 -248.3	 0	 -70	 
0.5	 138748	 194479	 194479	 -248.3	 0	 -70	 
0.6	 114467	 211486	 211486	 -248.3	 0	 -70	 
0.7	 106889	 229141	 229141	 -248.3	 0	 -70	 
0.8	 113269	 229662	 229662	 -248.3	 0	 -70	 
0.9	 111984	 203244	 203244	 -248.3	 0	 -70	 
1	 101433	 167797	 167797	 -248.3	 0	 -70	 
1.1	 92111.4	 146008	 146008	 -248.3	 0	 -70	 
1.2	 95303.8	 131192	 131192	 -248.3	 0	 -70	 
1.3	 97522.8	 126323	 126323	 -248.3	 0	 -70	 
1.4	 93895	 141666	 141666	 -248.3	 0	 -70	 
1.5	 91897.6	 153940	 153940	 -248.3	 0	 -70	 
1.6	 95834.6	 149102	 149102	 -248.3	 0	 -70	 
1.7	 99355.2	 125504	 125504	 -248.3	 0	 -70	 
1.8	 96416	 101127	 101127	 -248.3	 0	 -70	 
1.9	 91597.6	 90405.1	 90405.1	 -248.3	 0	 -70	 
2	 89759.7	 40296.6	 40296.6	 -248.3	 0	 -70	 
2.1	 80589.5	 58003.5	 58003.5	 -248.3	 0	 -70	 
2.2	 83144.4	 61578.9	 61578.9	 -248.3	 0	 -70	 
2.3	 75987.4	 76204.6	 76204.6	 -248.3	 0	 -70	 
2.4	 77324.6	 146264	 146264	 -248.3	 0	 -70	 
2.5	 7161.4	 104624	 104624	 -248.3	 0	 -70	 
2.6	 45680.8	 80885.4	 80885.4	 -248.3	 0	 -70	 
2.7	 44683.1	 59011.7	 59011.7	 -248.3	 0	 -70	 
2.8	 46336.5	 23430.8	 23430.8	 -248.3	 0	 -70	 
2.9	 46674.2	 38076.3	 38076.3	 -248.3	 0	 -70	 
3	 41131.6	 47003.3	 47003.3	 -248.3	 0	 -70	 
3.1	 49126.2	 65401.9	 65401.9	 -248.3	 0	 -70	 
3.2	 56751.8	 109295	 109295	 -248.3	 0	 -70	 
3.3	 96739.4	 158680	 158680	 -248.3	 0	 -70	 
3.4	 61158.9	 100016	 100016	 -248.3	 0	 -70	 
3.5	 55148.2	 63065.8	 63065.8	 -248.3	 0	 -70	 
3.6	 54258.8	 65010.9	 65010.9	 -248.3	 0	 -70	 
3.7	 59102.1	 112795	 112795	 -248.3	 0	 -70	 
3.8	 83775.2	 136031	 136031	 -248.3	 0	 -70	 
3.9	 67450.8	 120352	 120352	 -248.3	 0	 -70	 
4	 59501.1	 89069.4	 89069.4	 -248.3	 0	 -70	 
4.1	 65987.5	 87639.8	 87639.8	 -248.3	 0	 -70	 
4.2	 78127	 107285	 107285	 -248.3	 0	 -70	 
4.3	 66886.6	 127033	 127033	 -248.3	 0	 -70	 
4.4	 62850	 95377.2	 95377.2	 -248.3	 0	 -70	 
4.5	 65187.8	 79124	 79124	 -248.3	 0	 -70	 
4.6	 68175.4	 92044.6	 92044.6	 -248.3	 0	 -70	 
4.7	 65936.8	 118222	 118222	 -248.3	 0	 -70	 
4.8	 63971.1	 131372	 131372	 -248.3	 0	 -70	 
4.9	 69067.4	 121614	 121614	 -248.3	 0	 -70	 
5	 71392.5	 105386	 105386	 -248.3	 0	 -70	 
5.1	 67167.4	 100834	 100834	 -248.3	 0	 -70	 
5.2	 65991.8	 113056	 113056	 -248.3	 0	 -70	 
5.3	 70393.8	 127954	 127954	 -248.3	 0	 -70	 
5.4	 72644.3	 131017	 131017	 -248.3	 0	 -70	 
5.5	 70694.1	 121996	 121996	 -248.3	 0	 -70	 
5.6	 70591.8	 115054	 115054	 -248.3	 0	 -70	 
5.7	 72842.6	 118759	 118759	 -248.3	 0	 -70	 
5.8	 73060.6	 129259	 129259	 -248.3	 0	 -70	 
5.9	 72188.7	 134961	 134961	 -248.3	 0	 -70	 
6	 73434.3	 132058	 132058	 -248.3	 0	 -70	 
6.1	 74691.8	 126086	 126086	 -248.3	 0	 -70	 
6.2	 73593.3	 126098	 126098	 -248.3	 0	 -70	 
6.3	 72796.1	 131655	 131655	 -248.3	 0	 -70	 
6.4	 56723.8	 137467	 137467	 -248.3	 0	 -70	 
6.5	 66532.3	 137399	 137399	 -248.3	 0	 -70	 
6.6	 74725.8	 134682	 134682	 -248.3	 0	 -70	 
6.7	 73320	 131690	 131690	 -248.3	 0	 -70	 
6.8	 72541.6	 133950	 133950	 -248.3	 0	 -70	 
6.9	 64121.9	 138497	 138497	 -248.3	 0	 -70	 
7	 73570.2	 140657	 140657	 -248.3	 0	 -70	 
7.1	 77370.9	 139207	 139207	 -248.3	 0	 -70	 
7.2	 73277.7	 136832	 136832	 -248.3	 0	 -70	 
7.3	 69700.4	 136689	 136689	 -248.3	 0	 -70	 
7.4	 72143.4	 139852	 139852	 -248.3	 0	 -70	 
7.5	 77686.1	 142318	 142318	 -248.3	 0	 -70	 
7.6	 76694.6	 141509	 141509	 -248.3	 0	 -70	 
7.7	 72575.9	 138747	 138747	 -248.3	 0	 -70	 
7.8	 73013	 138102	 138102	 -248.3	 0	 -70	 
7.9	 77011.8	 140252	 140252	 -248.3	 0	 -70	 
8	 78081.8	 142208	 142208	 -248.3	 0	 -70	 
8.1	 75251.6	 141407	 141407	 -248.3	 0	 -70	 
8.2	 74010.1	 138851	 138851	 -248.3	 0	 -70	 
8.3	 76736.7	 138133	 138133	 -248.3	 0	 -70	 
8.4	 79052.7	 139761	 139761	 -248.3	 0	 -70	 
8.5	 77918.2	 141646	 141646	 -248.3	 0	 -70	 
8.6	 76389.8	 141597	 141597	 -248.3	 0	 -70	 
8.7	 77853.3	 140298	 140298	 -248.3	 0	 -70	 
8.8	 80477.4	 139888	 139888	 -248.3	 0	 -70	 
8.9	 79700.7	 141256	 141256	 -248.3	 0	 -70	 
9	 77853.6	 143144	 143144	 -248.3	 0	 -70	 
9.1	 80423.9	 144011	 144011	 -248.3	 0	 -70	 
9.2	 81413.7	 143229	 143229	 -248.3	 0	 -70	 
9.3	 80129	 142826	 142826	 -248.3	 0	 -70	 
9.4	 80220.2	 143867	 143867	 -248.3	 0	 -70	 
9.5	 81697	 145844	 145844	 -248.3	 0	 -70	 
9.6	 82344.6	 146838	 146838	 -248.3	 0	 -70	 
9.7	 82030.4	 146532	 146532	 -248.3	 0	 -70	 
9.8	 82440.9	 146243	 146243	 -248.3	 0	 -70	 
9.9	 83656.3	 147193	 147193	 -248.3	 0	 -70	 
10	 84198.5	 148935	 148935	 -248.3	 0	 -70	 
10.1	 84196.2	 150176	 150176	 -248.3	 0	 -70	 
10.2	 84815.3	 150253	 150253	 -248.3	 0	 -70	 
10.3	 85818.1	 150344	 150344	 -248.3	 0	 -70	 
10.4	 86238.2	 151072	 151072	 -248.3	 0	 -70	 
10.5	 86316.6	 152496	 152496	 -248.3	 0	 -70	 
10.6	 87022.2	 153717	 153717	 -248.3	 0	 -70	 
10.7	 88070.4	 154244	 154244	 -248.3	 0	 -70	 
10.8	 88597.6	 154327	 154327	 -248.3	 0	 -70	 
10.9	 88847.5	 154686	 154686	 -248.3	 0	 -70	 
11	 89527.3	 155609	 155609	 -248.3	 0	 -70	 
11.1	 90336.3	 156637	 156637	 -248.3	 0	 -70	 
11.2	 91046.6	 157697	 157697	 -248.3	 0	 -70	 
11.3	 91529.3	 157674	 157674	 -248.3	 0	 -70	 
11.4	 92102.9	 157617	 157617	 -248.3	 0	 -70	 
11.5	 92996.1	 157806	 157806	 -248.3	 0	 -70	 
11.6	 93622.4	 158548	 158548	 -248.3	 0	 -70	 
11.7	 94001.5	 159180	 159180	 -248.3	 0	 -70	 
11.8	 94526	 159366	 159366	 -248.3	 0	 -70	 
11.9	 95222.5	 159129	 159129	 -248.3	 0	 -70	 
12	 95827.4	 158916	 158916	 -248.3	 0	 -70	 
12.1	 96023.4	 159036	 159036	 -248.3	 0	 -70	 
12.2	 96735.2	 160070	 160070	 -248.3	 0	 -70	 
12.3	 97421.3	 160095	 160095	 -248.3	 0	 -70	 
12.4	 97981.5	 159654	 159654	 -248.3	 0	 -70	 
12.5	 98608.6	 158809	 158809	 -248.3	 0	 -70	 
12.6	 99032.6	 158586	 158586	 -248.3	 0	 -70	 
12.7	 99526.3	 158822	 158822	 -248.3	 0	 -70	 
12.8	 100009	 159127	 159127	 -248.3	 0	 -70	 
12.9	 100469	 158845	 158845	 -248.3	 0	 -70	 
13	 100886	 158094	 158094	 -248.3	 0	 -70	 
13.1	 101115	 157409	 157409	 -248.3	 0	 -70	 
13.2	 101811	 157797	 157797	 -248.3	 0	 -70	 
13.3	 102141	 157809	 157809	 -248.3	 0	 -70	 
13.4	 102440	 157577	 157577	 -248.3	 0	 -70	 
13.5	 102865	 156743	 156743	 -248.3	 0	 -70	 
13.6	 103242	 156095	 156095	 -248.3	 0	 -70	 
13.7	 103593	 155847	 155847	 -248.3	 0	 -70	 
13.8	 103758	 155997	 155997	 -248.3	 0	 -70	 
13.9	 103937	 155955	 155955	 -248.3	 0	 -70	 
14	 104170	 155478	 155478	 -248.3	 0	 -70	 
14.1	 104411	 154711	 154711	 -248.3	 0	 -70	 
14.2	 104718	 154288	 154288	 -248.3	 0	 -70	 
14.3	 104821	 154059	 154059	 -248.3	 0	 -70	 
14.4	 104949	 153987	 153987	 -248.3	 0	 -70	 
14.5	 104474	 153613	 153613	 -248.3	 0	 -70	 
14.6	 101319	 152971	 152971	 -248.3	 0	 -70	 
14.7	 99450.1	 152298	 152298	 -248.3	 0	 -70	 
14.8	 102501	 152018	 152018	 -248.3	 0	 -70	 
14.9	 102961	 151773	 151773	 -248.3	 0	 -70	 
15	 101791	 151075	 151075	 -248.3	 0	 -70	 
15.1	 101206	 150284	 150284	 -248.3	 0	 -70	 
15.2	 102987	 149479	 149479	 -248.3	 0	 -70	 
15.3	 104209	 149015	 149015	 -248.3	 0	 -70	 
15.4	 103072	 148402	 148402	 -248.3	 0	 -70	 
15.5	 102421	 147699	 147699	 -248.3	 0	 -70	 
15.6	 103522	 146869	 146869	 -248.3	 0	 -70	 
15.7	 104434	 145999	 145999	 -248.3	 0	 -70	 
15.8	 103729	 145086	 145086	 -248.3	 0	 -70	 
15.9	 102906	 144275	 144275	 -248.3	 0	 -70	 
16	 103446	 143561	 143561	 -248.3	 0	 -70	 
16.1	 104286	 142786	 142786	 -248.3	 0	 -70	 
16.2	 103867	 141680	 141680	 -248.3	 0	 -70	 
16.3	 102997	 140681	 140681	 -248.3	 0	 -70	 
16.4	 102993	 139868	 139868	 -248.3	 0	 -70	 
16.5	 103496	 139208	 139208	 -248.3	 0	 -70	 
16.6	 103381	 138380	 138380	 -248.3	 0	 -70	 
16.7	 102659	 137361	 137361	 -248.3	 0	 -70	 
16.8	 102417	 136385	 136385	 -248.3	 0	 -70	 
16.9	 102829	 135642	 135642	 -248.3	 0	 -70	 
17	 102964	 134991	 134991	 -248.3	 0	 -70	 
17.1	 102506	 134239	 134239	 -248.3	 0	 -70	 
17.2	 102100	 133317	 133317	 -248.3	 0	 -70	 
17.3	 102275	 132526	 132526	 -248.3	 0	 -70	 
17.4	 102464	 131877	 131877	 -248.3	 0	 -70	 
17.5	 102123	 131274	 131274	 -248.3	 0	 -70	 
17.6	 101695	 130603	 130603	 -248.3	 0	 -70	 
17.7	 101690	 129891	 129891	 -248.3	 0	 -70	 
17.8	 101896	 129252	 129252	 -248.3	 0	 -70	 
17.9	 101779	 128694	 128694	 -248.3	 0	 -70	 
18	 101443	 128179	 128179	 -248.3	 0	 -70	 
18.1	 101451	 127683	 127683	 -248.3	 0	 -70	 
18.2	 101607	 127035	 127035	 -248.3	 0	 -70	 
18.3	 101651	 126573	 126573	 -248.3	 0	 -70	 
18.4	 101443	 126136	 126136	 -248.3	 0	 -70	 
18.5	 101304	 125742	 125742	 -248.3	 0	 -70	 
18.6	 101441	 125285	 125285	 -248.3	 0	 -70	 
18.7	 101529	 124843	 124843	 -248.3	 0	 -70	 
18.8	 101410	 124463	 124463	 -248.3	 0	 -70	 
18.9	 101270	 124155	 124155	 -248.3	 0	 -70	 
19	 101328	 123865	 123865	 -248.3	 0	 -70	 
19.1	 101544	 123608	 123608	 -248.3	 0	 -70	 
19.2	 101401	 113378	 113378	 -248.3	 0	 -70	 
19.3	 100636	 112364	 112364	 -248.3	 0	 -70	 
19.4	 101052	 124956	 124956	 -248.3	 0	 -70	 
19.5	 101719	 127547	 127547	 -248.3	 0	 -70	 
19.6	 101287	 123972	 123972	 -248.3	 0	 -70	 
19.7	 101644	 112776	 112776	 -248.3	 0	 -70	 
19.8	 101264	 113381	 113381	 -248.3	 0	 -70	 
19.9	 101290	 119106	 119106	 -248.3	 0	 -70	 
20	 101066	 124556	 124556	 -248.3	 0	 -70	 
20.1	 101575	 120433	 120433	 -248.3	 0	 -70	 
20.2	 102001	 113916	 113916	 -248.3	 0	 -70	 
20.3	 102031	 112977	 112977	 -248.3	 0	 -70	 
20.4	 101760	 118177	 118177	 -248.3	 0	 -70	 
20.5	 101681	 121682	 121682	 -248.3	 0	 -70	 
20.6	 102332	 118845	 118845	 -248.3	 0	 -70	 
20.7	 102859	 113955	 113955	 -248.3	 0	 -70	 
20.8	 102846	 113454	 113454	 -248.3	 0	 -70	 
20.9	 102645	 117377	 117377	 -248.3	 0	 -70	 
21	 102940	 119709	 119709	 -248.3	 0	 -70	 
21.1	 103753	 117359	 117359	 -248.3	 0	 -70	 
21.2	 104091	 113507	 113507	 -248.3	 0	 -70	 
21.3	 104097	 113570	 113570	 -248.3	 0	 -70	 
21.4	 104116	 116620	 116620	 -248.3	 0	 -70	 
21.5	 104464	 117945	 117945	 -248.3	 0	 -70	 
21.6	 105032	 115572	 115572	 -248.3	 0	 -70	 
21.7	 105394	 112879	 112879	 -248.3	 0	 -70	 
21.8	 105582	 113388	 113388	 -248.3	 0	 -70	 
21.9	 105807	 115796	 115796	 -248.3	 0	 -70	 
22	 106233	 116307	 116307	 -248.3	 0	 -70	 
22.1	 106787	 114175	 114175	 -248.3	 0	 -70	 
22.2	 107203	 112420	 112420	 -248.3	 0	 -70	 
22.3	 107540	 113360	 113360	 -248.3	 0	 -70	 
22.4	 107862	 115192	 115192	 -248.3	 0	 -70	 
22.5	 108292	 115085	 115085	 -248.3	 0	 -70	 
22.6	 108862	 113257	 113257	 -248.3	 0	 -70	 
22.7	 109456	 112402	 112402	 -248.3	 0	 -70	 
22.8	 109961	 113592	 113592	 -248.3	 0	 -70	 
22.9	 110378	 114862	 114862	 -248.3	 0	 -70	 
23	 110894	 114360	 114360	 -248.3	 0	 -70	 
23.1	 111566	 112946	 112946	 -248.3	 0	 -70	 
23.2	 112350	 112827	 112827	 -248.3	 0	 -70	 
23.3	 112956	 113984	 113984	 -248.3	 0	 -70	 
23.4	 113488	 114686	 114686	 -248.3	 0	 -70	 
23.5	 114182	 113985	 113985	 -248.3	 0	 -70	 
23.6	 115108	 113092	 113092	 -248.3	 0	 -70	 
23.7	 116065	 113380	 113380	 -248.3	 0	 -70	 
23.8	 116831	 114354	 114354	 -248.3	 0	 -70	 
23.9	 117520	 114597	 114597	 -248.3	 0	 -70	 
24	 118365	 113880	 113880	 -248.3	 0	 -70	 
24.1	 119427	 113380	 113380	 -248.3	 0	 -70	 
24.2	 120581	 113939	 113939	 -248.3	 0	 -70	 
24.3	 121463	 114606	 114606	 -248.3	 0	 -70	 
24.4	 122268	 114529	 114529	 -248.3	 0	 -70	 
24.5	 123265	 113968	 113968	 -248.3	 0	 -70	 
24.6	 124510	 113881	 113881	 -248.3	 0	 -70	 
24.7	 125731	 114441	 114441	 -248.3	 0	 -70	 
24.8	 126714	 114858	 114858	 -248.3	 0	 -70	 
24.9	 127566	 114645	 114645	 -248.3	 0	 -70	 
25	 128600	 114287	 114287	 -248.3	 0	 -70	 
25.1	 129850	 114399	 114399	 -248.3	 0	 -70	 
25.2	 131162	 114944	 114944	 -248.3	 0	 -70	 
25.3	 132184	 115122	 115122	 -248.3	 0	 -70	 
25.4	 133080	 114866	 114866	 -248.3	 0	 -70	 
25.5	 134135	 114702	 114702	 -248.3	 0	 -70	 
25.6	 135427	 114953	 114953	 -248.3	 0	 -70	 
25.7	 136757	 115314	 115314	 -248.3	 0	 -70	 
25.8	 137890	 115313	 115313	 -248.3	 0	 -70	 
25.9	 138892	 115052	 115052	 -248.3	 0	 -70	 
26	 139986	 114970	 114970	 -248.3	 0	 -70	 
26.1	 138247	 115152	 115152	 -248.3	 0	 -70	 
26.2	 131288	 115340	 115340	 -248.3	 0	 -70	 
26.3	 126008	 115101	 115101	 -248.3	 0	 -70	 
26.4	 132513	 114960	 114960	 -248.3	 0	 -70	 
26.5	 138668	 115101	 115101	 -248.3	 0	 -70	 
26.6	 140162	 115013	 115013	 -248.3	 0	 -70	 
26.7	 135300	 115060	 115060	 -248.3	 0	 -70	 
26.8	 134754	 115061	 115061	 -248.3	 0	 -70	 
26.9	 138398	 115177	 115177	 -248.3	 0	 -70	 
27	 142731	 114947	 114947	 -248.3	 0	 -70	 
27.1	 142396	 114608	 114608	 -248.3	 0	 -70	 
27.2	 140153	 114638	 114638	 -248.3	 0	 -70	 
27.3	 139829	 114787	 114787	 -248.3	 0	 -70	 
27.4	 142959	 114809	 114809	 -248.3	 0	 -70	 
27.5	 146195	 114515	 114515	 -248.3	 0	 -70	 
27.6	 146647	 114234	 114234	 -248.3	 0	 -70	 
27.7	 144895	 114276	 114276	 -248.3	 0	 -70	 
27.8	 143881	 114443	 114443	 -248.3	 0	 -70	 
27.9	 145156	 114352	 114352	 -248.3	 0	 -70	 
28	 147300	 113970	 113970	 -248.3	 0	 -70	 
28.1	 148115	 113667	 113667	 -248.3	 0	 -70	 
28.2	 147250	 113763	 113763	 -248.3	 0	 -70	 
28.3	 146241	 113849	 113849	 -248.3	 0	 -70	 
28.4	 146659	 113675	 113675	 -248.3	 0	 -70	 
28.5	 148270	 113316	 113316	 -248.3	 0	 -70	 
28.6	 149567	 113103	 113103	 -248.3	 0	 -70	 
28.7	 149577	 113128	 113128	 -248.3	 0	 -70	 
28.8	 148812	 113107	 113107	 -248.3	 0	 -70	 
28.9	 148573	 112857	 112857	 -248.3	 0	 -70	 
29	 149449	 112509	 112509	 -248.3	 0	 -70	 
29.1	 150837	 112295	 112295	 -248.3	 0	 -70	 
29.2	 151698	 112261	 112261	 -248.3	 0	 -70	 
29.3	 151659	 112102	 112102	 -248.3	 0	 -70	 
29.4	 151444	 111803	 111803	 -248.3	 0	 -70	 
29.5	 151918	 111509	 111509	 -248.3	 0	 -70	 
29.6	 153187	 111335	 111335	 -248.3	 0	 -70	 
29.7	 154490	 111189	 111189	 -248.3	 0	 -70	 
29.8	 155068	 110926	 110926	 -248.3	 0	 -70	 
29.9	 154972	 110609	 110609	 -248.3	 0	 -70	 
30	 154898	 110353	 110353	 -248.3	 0	 -70	 
30.1	 155476	 110162	 110162	 -248.3	 0	 -70	 
30.2	 156568	 109935	 109935	 -248.3	 0	 -70	 
30.3	 157554	 109626	 109626	 -248.3	 0	 -70	 
30.4	 157935	 109336	 109336	 -248.3	 0	 -70	 
30.5	 157844	 109121	 109121	 -248.3	 0	 -70	 
30.6	 157792	 108929	 108929	 -248.3	 0	 -70	 
30.7	 158129	 108649	 108649	 -248.3	 0	 -70	 
30.8	 158784	 108325	 108325	 -248.3	 0	 -70	 
30.9	 159360	 108062	 108062	 -248.3	 0	 -70	 
31	 159605	 107856	 107856	 -248.3	 0	 -70	 
31.1	 159663	 107654	 107654	 -248.3	 0	 -70	 
31.2	 159847	 107333	 107333	 -248.3	 0	 -70	 
31.3	 157722	 107056	 107056	 -248.3	 0	 -70	 
31.4	 155612	 106753	 106753	 -248.3	 0	 -70	 
31.5	 154575	 106526	 106526	 -248.3	 0	 -70	 
31.6	 157991	 106255	 106255	 -248.3	 0	 -70	 
31.7	 161118	 106048	 106048	 -248.3	 0	 -70	 
31.8	 162047	 105807	 105807	 -248.3	 0	 -70	 
31.9	 160181	 105636	 105636	 -248.3	 0	 -70	 
32	 159121	 105439	 105439	 -248.3	 0	 -70	 
32.1	 160415	 105225	 105225	 -248.3	 0	 -70	 
32.2	 163254	 104857	 104857	 -248.3	 0	 -70	 
32.3	 164997	 104666	 104666	 -248.3	 0	 -70	 
32.4	 164414	 104540	 104540	 -248.3	 0	 -70	 
32.5	 162660	 104320	 104320	 -248.3	 0	 -70	 
32.6	 161896	 104017	 104017	 -248.3	 0	 -70	 
32.7	 162926	 103730	 103730	 -248.3	 0	 -70	 
32.8	 164528	 103559	 103559	 -248.3	 0	 -70	 
32.9	 165095	 103424	 103424	 -248.3	 0	 -70	 
33	 164326	 103235	 103235	 -248.3	 0	 -70	 
33.1	 163584	 103078	 103078	 -248.3	 0	 -70	 
33.2	 163974	 102818	 102818	 -248.3	 0	 -70	 
33.3	 165532	 102684	 102684	 -248.3	 0	 -70	 
33.4	 166655	 102531	 102531	 -248.3	 0	 -70	 
33.5	 166369	 102309	 102309	 -248.3	 0	 -70	 
33.6	 165021	 102130	 102130	 -248.3	 0	 -70	 
33.7	 164135	 101971	 101971	 -248.3	 0	 -70	 
33.8	 164539	 101824	 101824	 -248.3	 0	 -70	 
33.9	 165699	 101655	 101655	 -248.3	 0	 -70	 
34	 166260	 101519	 101519	 -248.3	 0	 -70	 
34.1	 165641	 101490	 101490	 -248.3	 0	 -70	 
34.2	 164488	 101352	 101352	 -248.3	 0	 -70	 
34.3	 164213	 101203	 101203	 -248.3	 0	 -70	 
34.4	 165191	 101048	 101048	 -248.3	 0	 -70	 
34.5	 166683	 100920	 100920	 -248.3	 0	 -70	 
34.6	 167582	 100859	 100859	 -248.3	 0	 -70	 
34.7	 167714	 100791	 100791	 -248.3	 0	 -70	 
34.8	 167763	 100685	 100685	 -248.3	 0	 -70	 
34.9	 168545	 92425.6	 92425.6	 -248.3	 0	 -70	 
35	 169990	 99295.3	 99295.3	 -248.3	 0	 -70	 
35.1	 172276	 99970.5	 99970.5	 -248.3	 0	 -70	 
35.2	 171512	 103476	 103476	 -248.3	 0	 -70	 
35.3	 171156	 101493	 101493	 -248.3	 0	 -70	 
35.4	 170124	 96705.1	 96705.1	 -248.3	 0	 -70	 
35.5	 171811	 97714.3	 97714.3	 -248.3	 0	 -70	 
35.6	 173813	 100291	 100291	 -248.3	 0	 -70	 
35.7	 174700	 101922	 101922	 -248.3	 0	 -70	 
35.8	 173432	 99089.7	 99089.7	 -248.3	 0	 -70	 
35.9	 171856	 96887.7	 96887.7	 -248.3	 0	 -70	 
36	 171925	 98047.1	 98047.1	 -248.3	 0	 -70	 
36.1	 173490	 100592	 100592	 -248.3	 0	 -70	 
36.2	 174764	 100568	 100568	 -248.3	 0	 -70	 
36.3	 174649	 98202.7	 98202.7	 -248.3	 0	 -70	 
36.4	 173778	 97158.8	 97158.8	 -248.3	 0	 -70	 
36.5	 173531	 98730.2	 98730.2	 -248.3	 0	 -70	 
36.6	 174353	 100358	 100358	 -248.3	 0	 -70	 
36.7	 175614	 99573.6	 99573.6	 -248.3	 0	 -70	 
36.8	 176562	 97722.2	 97722.2	 -248.3	 0	 -70	 
36.9	 177063	 97564.1	 97564.1	 -248.3	 0	 -70	 
37	 177359	 99133.1	 99133.1	 -248.3	 0	 -70	 
37.1	 177748	 99955.8	 99955.8	 -248.3	 0	 -70	 
37.2	 178390	 98835	 98835	 -248.3	 0	 -70	 
37.3	 179449	 97594.6	 97594.6	 -248.3	 0	 -70	 
37.4	 180677	 98019.4	 98019.4	 -248.3	 0	 -70	 
37.5	 181519	 99295.6	 99295.6	 -248.3	 0	 -70	 
37.6	 181681	 99472.6	 99472.6	 -248.3	 0	 -70	 
37.7	 181531	 98393.2	 98393.2	 -248.3	 0	 -70	 
37.8	 181881	 97782.7	 97782.7	 -248.3	 0	 -70	 
37.9	 183025	 98517.4	 98517.4	 -248.3	 0	 -70	 
38	 184429	 99426.7	 99426.7	 -248.3	 0	 -70	 
38.1	 185297	 99221.4	 99221.4	 -248.3	 0	 -70	 
38.2	 185439	 98391.7	 98391.7	 -248.3	 0	 -70	 
38.3	 185360	 98306.8	 98306.8	 -248.3	 0	 -70	 
38.4	 185630	 99122	 99122	 -248.3	 0	 -70	 
38.5	 186310	 99659.5	 99659.5	 -248.3	 0	 -70	 
38.6	 187050	 99274.3	 99274.3	 -248.3	 0	 -70	 
38.7	 187502	 98740.9	 98740.9	 -248.3	 0	 -70	 
38.8	 187611	 98985.3	 98985.3	 -248.3	 0	 -70	 
38.9	 187527	 99715.4	 99715.4	 -248.3	 0	 -70	 
39	 187471	 99950.5	 99950.5	 -248.3	 0	 -70	 
39.1	 187708	 99521.7	 99521.7	 -248.3	 0	 -70	 
39.2	 188400	 99284.8	 99284.8	 -248.3	 0	 -70	 
39.3	 189392	 99668.7	 99668.7	 -248.3	 0	 -70	 
39.4	 190358	 100210	 100210	 -248.3	 0	 -70	 
39.5	 191076	 100251	 100251	 -248.3	 0	 -70	 
39.6	 191599	 99917.3	 99917.3	 -248.3	 0	 -70	 
39.7	 192225	 99871.5	 99871.5	 -248.3	 0	 -70	 
39.8	 193059	 100272	 100272	 -248.3	 0	 -70	 
39.9	 193961	 100616	 100616	 -248.3	 0	 -70	 
40	 194668	 100530	 100530	 -248.3	 0	 -70	 
40.1	 195105	 100272	 100272	 -248.3	 0	 -70	 
40.2	 195414	 100405	 100405	 -248.3	 0	 -70	 
40.3	 195658	 100756	 100756	 -248.3	 0	 -70	 
40.4	 195910	 100954	 100954	 -248.3	 0	 -70	 
40.5	 194234	 100853	 100853	 -248.3	 0	 -70	 
40.6	 190950	 100722	 100722	 -248.3	 0	 -70	 
40.7	 188644	 100912	 100912	 -248.3	 0	 -70	 
40.8	 191139	 101268	 101268	 -248.3	 0	 -70	 
40.9	 195645	 101439	 101439	 -248.3	 0	 -70	 
41	 198966	 101294	 101294	 -248.3	 0	 -70	 
41.1	 198155	 101216	 101216	 -248.3	 0	 -70	 
41.2	 195046	 101535	 101535	 -248.3	 0	 -70	 
41.3	 192575	 101845	 101845	 -248.3	 0	 -70	 
41.4	 193427	 101875	 101875	 -248.3	 0	 -70	 
41.5	 196610	 101685	 101685	 -248.3	 0	 -70	 
41.6	 199407	 101631	 101631	 -248.3	 0	 -70	 
41.7	 199253	 101870	 101870	 -248.3	 0	 -70	 
41.8	 196552	 102122	 102122	 -248.3	 0	 -70	 
41.9	 193841	 102144	 102144	 -248.3	 0	 -70	 
42	 193686	 101984	 101984	 -248.3	 0	 -70	 
42.1	 196162	 101243	 101243	 -248.3	 0	 -70	 
42.2	 199047	 101320	 101320	 -248.3	 0	 -70	 
42.3	 199787	 101484	 101484	 -248.3	 0	 -70	 
42.4	 197811	 101903	 101903	 -248.3	 0	 -70	 
42.5	 195147	 101846	 101846	 -248.3	 0	 -70	 
42.6	 194246	 101456	 101456	 -248.3	 0	 -70	 
42.7	 196001	 101553	 101553	 -248.3	 0	 -70	 
42.8	 198735	 101878	 101878	 -248.3	 0	 -70	 
42.9	 199858	 101981	 101981	 -248.3	 0	 -70	 
43	 198260	 101818	 101818	 -248.3	 0	 -70	 
43.1	 195292	 101770	 101770	 -248.3	 0	 -70	 
43.2	 193527	 101957	 101957	 -248.3	 0	 -70	 
43.3	 194240	 101964	 101964	 -248.3	 0	 -70	 
43.4	 196515	 101795	 101795	 -248.3	 0	 -70	 
43.5	 198054	 101815	 101815	 -248.3	 0	 -70	 
43.6	 197350	 102031	 102031	 -248.3	 0	 -70	 
43.7	 195028	 102103	 102103	 -248.3	 0	 -70	 
